Cell index	pseudotime
0	23849
3	48995
5	50719
6	49455
10	57689
11	58839
13	39262
14	26306
15	40624
16	32626
23	49822
25	37334
26	25764
28	36828
31	48503
32	33670
33	49931
34	54846
37	56721
39	39969
40	35012
41	38018
43	46992
44	26112
49	56165
50	25435
54	29309
59	20075
62	55858
63	56295
65	60301
66	38530
67	40883
68	48226
69	18224
70	17556
72	46742
73	54249
75	49030
76	51153
77	37920
78	60142
80	23000
81	26747
82	50985
90	24037
92	34786
93	51329
107	29255
108	46347
110	30798
114	57551
117	51286
118	28347
130	58763
131	42482
132	31850
133	46342
134	43289
136	48524
140	45586
142	56740
143	50595
145	23298
146	14959
148	39570
149	47689
152	43237
155	55423
160	35683
162	42574
166	47311
169	49284
171	44175
172	57901
173	39461
174	48007
175	38063
176	16063
183	57579
184	60298
186	33318
187	15637
188	28163
189	24433
193	47813
196	51833
201	31063
202	32188
209	59784
213	25121
215	32453
221	50389
222	47449
224	59822
225	49916
228	27026
238	48303
239	37628
242	36868
246	46132
249	53122
252	60611
253	32202
255	17922
261	57282
267	30080
268	45718
269	31954
275	51951
276	51259
279	59993
280	32176
281	32265
282	37202
285	36694
286	44514
292	59469
293	54126
294	59998
295	35518
299	45538
301	48736
303	56195
305	56970
308	54456
309	59955
310	21934
311	26903
312	44530
313	25024
319	20430
324	40468
325	19929
326	53209
328	35197
331	58857
334	60478
335	34136
338	18939
342	18370
345	54444
346	58600
348	33148
349	42988
355	43038
357	55459
358	52735
359	58055
360	55811
361	31843
362	29183
363	28737
365	51440
367	51245
368	49110
371	54488
372	60134
373	55623
374	40129
375	24300
377	37584
380	46440
381	48742
389	29155
390	25466
391	41883
393	24154
395	56659
403	36214
405	41814
409	46026
411	28520
413	53609
418	23019
422	45787
423	50989
424	43900
425	55298
428	50651
429	43070
431	32699
437	50539
438	48334
441	57354
442	52971
443	56958
444	58841
445	32179
446	34872
454	42027
456	58794
457	51399
458	40832
459	43932
460	46733
461	32488
464	45337
465	52993
466	55137
468	54882
470	51939
471	25212
476	50763
479	53417
481	56729
483	58801
484	36935
485	40669
486	50241
488	41129
491	44948
493	54567
495	35247
496	52980
497	51424
498	39769
500	29444
501	20032
502	41172
503	16735
507	53169
508	46243
510	61176
511	61286
512	32373
513	40635
515	36680
519	50800
523	36668
524	57311
525	33098
526	31861
532	30264
535	51595
537	33959
539	33145
541	42409
542	31317
544	41499
545	50166
547	46925
550	60632
551	41155
554	29971
555	30771
561	50356
564	54930
565	58088
567	42775
568	34538
571	12600
574	49684
577	60430
578	50249
579	48783
582	39877
587	35413
588	53114
590	59173
592	43282
593	41988
594	26337
596	16031
597	15269
598	51564
603	41887
605	55439
608	36124
609	21751
610	19159
615	25838
617	51615
620	31899
622	16195
624	32210
626	38940
628	54599
629	56749
631	57972
632	18476
634	37410
637	16705
638	47532
640	46657
641	20813
645	57032
647	31914
648	42874
649	52444
650	37493
651	30247
656	56985
658	56830
659	57754
662	26866
663	39371
671	55447
672	54993
674	55621
676	27274
677	19667
679	33682
680	47022
683	34227
684	47009
687	32573
692	14581
694	13400
698	50916
699	56537
700	53448
702	33879
703	44176
710	54708
711	42006
712	59439
713	41690
714	47236
716	50137
719	38004
720	53449
725	52826
727	38084
728	18440
729	10019
731	42667
738	45378
739	28059
742	51838
746	39067
747	57189
748	55920
750	60126
754	40631
755	31663
756	51050
758	46828
765	51983
768	34823
769	35568
771	46574
772	47374
777	57487
778	50523
779	41191
780	40423
782	46291
786	50133
788	45314
789	51024
790	54344
791	50081
792	24648
795	34148
804	55312
806	52127
807	7268
808	36210
809	23159
814	47734
818	50661
821	37764
823	43706
824	39245
825	46959
831	54910
836	15279
837	39783
844	52356
845	40073
846	54593
847	18821
848	28760
850	40304
852	45303
854	29369
857	52756
858	46912
859	59256
860	55291
861	37715
870	46246
871	60417
872	60007
874	37357
875	15963
876	45307
881	53562
894	46688
897	56744
898	51228
899	55588
900	41993
901	14169
915	40235
918	47371
921	25890
922	53135
923	60718
924	57947
928	33050
929	26766
932	34424
933	50471
934	60597
938	59763
939	60439
940	19015
942	42510
944	48438
945	52135
947	30662
948	52104
950	49494
954	47984
956	37992
959	45413
965	55317
966	57379
967	27992
968	30947
969	40314
970	37129
971	41783
973	16970
974	33584
982	41231
984	43682
989	52338
990	51985
992	59347
993	35901
996	34531
997	43648
999	16698
1000	49430
1004	54124
1005	30545
1006	43303
1007	40183
1012	53179
1013	56265
1016	53238
1018	47195
1019	44170
1020	32398
1021	44371
1026	53016
1029	58411
1031	35829
1035	29316
1042	57893
1046	39569
1048	39654
1049	42616
1051	49088
1052	50510
1054	52501
1056	57117
1058	39665
1060	43006
1063	25458
1065	46367
1066	37792
1068	33707
1069	60574
1070	56490
1072	52432
1073	23287
1074	40290
1075	34601
1076	47077
1082	52533
1084	58357
1085	37753
1086	44589
1088	34208
1092	14582
1093	48169
1098	57416
1099	26572
1100	35071
1101	41562
1102	40873
1109	57628
1113	34214
1114	36249
1115	28379
1116	26791
1124	60592
1127	43696
1130	41740
1132	22958
1141	57821
1142	33079
1147	49697
1149	52194
1150	46648
1151	49896
1152	54889
1153	56562
1155	39711
1156	40680
1157	30592
1158	49482
1160	48229
1168	38000
1170	37406
1172	48768
1174	53285
1175	56558
1176	51964
1177	37665
1179	38476
1182	37270
1185	20647
1186	46426
1189	57232
1191	47498
1193	31270
1195	38468
1198	49161
1199	45590
1200	50567
1204	56767
1206	55754
1208	46964
1213	47556
1214	49242
1215	54281
1216	56310
1217	48531
1218	59981
1219	59285
1221	31318
1223	23595
1224	30956
1228	13476
1229	39811
1233	54949
1235	36326
1236	27598
1238	36359
1241	49379
1243	60917
1251	46682
1252	46003
1256	54971
1258	34040
1259	39748
1262	50895
1266	39680
1267	41792
1268	39106
1269	55124
1270	59728
1272	34874
1274	31016
1281	60555
1282	54868
1284	37304
1294	43543
1295	46519
1296	55805
1297	38864
1298	39258
1299	28299
1300	31213
1301	52319
1302	43756
1303	27422
1304	48026
1305	54466
1309	57157
1311	45005
1313	32252
1314	28511
1315	45238
1318	59696
1321	53974
1322	60646
1323	58141
1325	47571
1326	29839
1327	49034
1328	39699
1331	48983
1333	14635
1334	44058
1336	44958
1337	21349
1338	30345
1339	46461
1349	45283
1351	35491
1353	33137
1361	49690
1362	59855
1364	31256
1365	34813
1370	40892
1371	49392
1374	40087
1375	56360
1378	35474
1381	45957
