,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
0,0.0,1000,1,InfoNCE,0.0,Half cube
1,0.0,1000,1,MINE,5.503444827609876e-06,Half cube
2,0.0,1000,1,KSG,-0.003067193771672989,Half cube
3,0.0,1000,1,LMI,-0.007418310894624827,Half cube
4,0.5,1000,1,InfoNCE,0.0,Half cube
5,0.5,1000,1,MINE,0.0,Half cube
6,0.5,1000,1,KSG,0.018215422579328434,Half cube
7,0.5,1000,1,LMI,0.4909893542994898,Half cube
8,1.0,1000,1,InfoNCE,0.0,Half cube
9,1.0,1000,1,MINE,0.0,Half cube
10,1.0,1000,1,KSG,0.06777875767589575,Half cube
11,1.0,1000,1,LMI,0.7910553203198202,Half cube
12,1.5,1000,1,InfoNCE,0.0,Half cube
13,1.5,1000,1,MINE,0.0,Half cube
14,1.5,1000,1,KSG,0.002730664497995418,Half cube
15,1.5,1000,1,LMI,1.1338662639607782,Half cube
16,2.0,1000,1,InfoNCE,0.0,Half cube
17,2.0,1000,1,MINE,0.0,Half cube
18,2.0,1000,1,KSG,-0.01403295837568192,Half cube
19,2.0,1000,1,LMI,1.6004494335785044,Half cube
20,0.0,1000,2,InfoNCE,6.672926853476976e-05,Half cube
21,0.0,1000,2,MINE,0.0014419025448337876,Half cube
22,0.0,1000,2,KSG,-0.08114331328370437,Half cube
23,0.0,1000,2,LMI,0.026371779416839703,Half cube
24,0.5,1000,2,InfoNCE,0.0,Half cube
25,0.5,1000,2,MINE,0.0016672428131267827,Half cube
26,0.5,1000,2,KSG,-0.04252563196400624,Half cube
27,0.5,1000,2,LMI,0.37634251551901954,Half cube
28,1.0,1000,2,InfoNCE,0.0,Half cube
29,1.0,1000,2,MINE,5.503444827609876e-06,Half cube
30,1.0,1000,2,KSG,0.05371975504433939,Half cube
31,1.0,1000,2,LMI,0.7078108389686586,Half cube
32,1.5,1000,2,InfoNCE,0.0,Half cube
33,1.5,1000,2,MINE,0.0,Half cube
34,1.5,1000,2,KSG,0.05356727719095576,Half cube
35,1.5,1000,2,LMI,1.0937785848398762,Half cube
36,2.0,1000,2,InfoNCE,0.0,Half cube
37,2.0,1000,2,MINE,0.0,Half cube
38,2.0,1000,2,KSG,-0.06491561373769864,Half cube
39,2.0,1000,2,LMI,1.5337014052363565,Half cube
40,0.0,1000,3,InfoNCE,0.0,Half cube
41,0.0,1000,3,MINE,4.299566271570216e-07,Half cube
