,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
0,InfoNCE,1000,1,0.9374733022695492,1,1
1,LMI ,1000,1,1.0873006946245531,1,1
2,MINE,1000,1,0.9918416617388562,1,1
3,KSG,1000,1,0.9795313597905844,1,1
4,InfoNCE,1000,1,-1.5840180006171574,13,13
5,LMI ,1000,1,0.10968803871307985,13,13
6,MINE,1000,1,-0.2888679077993027,13,13
7,KSG,1000,1,0.3652649232797141,13,13
8,InfoNCE,1000,1,-4.154448686633385,25,25
9,LMI ,1000,1,-0.03468657724020557,25,25
10,MINE,1000,1,-2.5827401722690824,25,25
11,KSG,1000,1,0.1339639394514864,25,25
12,InfoNCE,1000,1,-8.184863485464513,37,37
13,LMI ,1000,1,0.018269248582271712,37,37
14,MINE,1000,1,-2.221329638370545,37,37
15,KSG,1000,1,0.15320667915902442,37,37
16,InfoNCE,1000,1,-21.791306680867,50,50
17,LMI ,1000,1,0.01471224778222098,50,50
18,MINE,1000,1,-1.769998491416341,50,50
19,KSG,1000,1,0.06613842242668513,50,50
20,InfoNCE,2000,1,0.9285446509673556,1,1
21,LMI ,2000,1,0.9907154379758754,1,1
22,MINE,2000,1,0.9081465626704468,1,1
23,KSG,2000,1,0.9291176748421556,1,1
24,InfoNCE,2000,1,-0.15212966157780947,13,13
25,LMI ,2000,1,0.13298670498133117,13,13
26,MINE,2000,1,0.3096016202393703,13,13
27,KSG,2000,1,0.35817823618745964,13,13
28,InfoNCE,2000,1,-1.591973918046071,25,25
29,LMI ,2000,1,0.0026773699853229666,25,25
30,MINE,2000,1,-0.01027802718086317,25,25
31,KSG,2000,1,0.20192543705064336,25,25
32,InfoNCE,2000,1,-2.550130541838985,37,37
33,LMI ,2000,1,0.09205101328028215,37,37
34,MINE,2000,1,-0.6956017176103193,37,37
35,KSG,2000,1,0.12921187350938856,37,37
36,InfoNCE,2000,1,-4.376229945949425,50,50
37,LMI ,2000,1,0.009430468579399531,50,50
38,MINE,2000,1,-0.341823257809121,50,50
39,KSG,2000,1,0.04761010512462997,50,50
40,InfoNCE,3000,1,1.0443330025566466,1,1
41,LMI ,3000,1,1.1009323306114365,1,1
42,MINE,3000,1,1.1015939382308153,1,1
43,KSG,3000,1,1.0870538930901295,1,1
44,InfoNCE,3000,1,0.25345977567436595,13,13
45,LMI ,3000,1,0.19760216293249083,13,13
46,MINE,3000,1,0.5098135034148004,13,13
47,KSG,3000,1,0.3904879699868243,13,13
48,InfoNCE,3000,1,-0.30837383609486074,25,25
49,LMI ,3000,1,0.06870019177879881,25,25
50,MINE,3000,1,0.07084360949136072,25,25
51,KSG,3000,1,0.15380339465302564,25,25
52,InfoNCE,3000,1,-0.9187794760513653,37,37
53,LMI ,3000,1,0.03659376973705905,37,37
54,MINE,3000,1,-0.3874335727658904,37,37
55,KSG,3000,1,0.12714550111229728,37,37
56,InfoNCE,3000,1,-1.963987526335602,50,50
57,LMI ,3000,1,-0.006295373596026977,50,50
58,MINE,3000,1,-0.3369019742546817,50,50
59,KSG,3000,1,0.06318811133837852,50,50
60,InfoNCE,4000,1,1.0350906548992793,1,1
61,LMI ,4000,1,1.0147134878434882,1,1
62,MINE,4000,1,0.9899346321147641,1,1
63,KSG,4000,1,1.0514406644664023,1,1
64,InfoNCE,4000,1,0.5166014866617046,13,13
65,LMI ,4000,1,0.23500355073952156,13,13
66,MINE,4000,1,0.40230594448190266,13,13
67,KSG,4000,1,0.382721739731629,13,13
68,InfoNCE,4000,1,-0.059420693803703836,25,25
69,LMI ,4000,1,0.0675717444365519,25,25
70,MINE,4000,1,0.08496493297105508,25,25
71,KSG,4000,1,0.18016256102377143,25,25
72,InfoNCE,4000,1,-0.4235822621854425,37,37
73,LMI ,4000,1,0.006873707155318342,37,37
74,MINE,4000,1,0.013565475552105757,37,37
75,KSG,4000,1,0.13829255933114223,37,37
76,InfoNCE,4000,1,-0.7335541610721205,50,50
77,LMI ,4000,1,0.007187917270741485,50,50
78,MINE,4000,1,-0.20157536163147038,50,50
79,KSG,4000,1,0.08196832365925813,50,50
80,InfoNCE,5000,1,0.9797445740598172,1,1
81,LMI ,5000,1,0.9986099998593312,1,1
82,MINE,5000,1,0.9914683733951586,1,1
83,KSG,5000,1,1.0090171535544417,1,1
84,InfoNCE,5000,1,0.5445232139945833,13,13
85,LMI ,5000,1,0.21414842516053367,13,13
86,MINE,5000,1,0.43812786686481536,13,13
87,KSG,5000,1,0.3882915836725111,13,13
88,InfoNCE,5000,1,-0.0024098209038896745,25,25
89,LMI ,5000,1,0.08997002060799154,25,25
90,MINE,5000,1,0.14873076844880778,25,25
91,KSG,5000,1,0.20113899771323382,25,25
92,InfoNCE,5000,1,-0.3558953942506686,37,37
