,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
0,InfoNCE,1000,1,0.9187959863858481,1,1
1,LMI,1000,1,0.9744929259730574,1,1
2,MINE,1000,1,0.9068824041952797,1,1
3,KSG,1000,1,0.9980343594651475,1,1
4,InfoNCE,1000,1,-0.8398105462199912,13,1
5,LMI,1000,1,0.9139111678899488,13,1
6,MINE,1000,1,0.6070607493798739,13,1
7,KSG,1000,1,0.34884023085767624,13,1
8,InfoNCE,1000,1,-2.0868629390016475,25,2
9,LMI,1000,1,0.6198395475511987,25,2
10,MINE,1000,1,-0.04554977706366573,25,2
11,KSG,1000,1,0.240359679184114,25,2
12,InfoNCE,1000,1,-2.9832427066740372,37,3
13,LMI,1000,1,0.5854816386578725,37,3
14,MINE,1000,1,0.0537996128429038,37,3
15,KSG,1000,1,0.1791669235018698,37,3
16,InfoNCE,1000,1,-6.826358767687118,50,5
17,LMI,1000,1,0.4528350824584905,50,5
18,MINE,1000,1,-0.8048887810316945,50,5
19,KSG,1000,1,0.12343331248005475,50,5
20,InfoNCE,2000,1,1.0052626718642372,1,1
21,LMI,2000,1,1.0835366090145573,1,1
22,MINE,2000,1,1.0093944690598908,1,1
23,KSG,2000,1,1.0302225232743722,1,1
24,InfoNCE,2000,1,0.29005011654133367,13,1
25,LMI,2000,1,0.9153474947492273,13,1
26,MINE,2000,1,0.8445644906551409,13,1
27,KSG,2000,1,0.4295525780536422,13,1
28,InfoNCE,2000,1,0.26915353653089896,25,2
29,LMI,2000,1,0.7306968600265348,25,2
30,MINE,2000,1,0.5209254744696973,25,2
31,KSG,2000,1,0.2232974644917405,25,2
32,InfoNCE,2000,1,-0.9699470664054647,37,3
33,LMI,2000,1,0.6732350795245222,37,3
34,MINE,2000,1,0.5320097563178053,37,3
35,KSG,2000,1,0.18652495998106594,37,3
36,InfoNCE,2000,1,-1.3445067058583688,50,5
37,LMI,2000,1,0.4558996583976192,50,5
38,MINE,2000,1,0.10218675968050414,50,5
39,KSG,2000,1,0.15033320588351343,50,5
40,InfoNCE,3000,1,0.9335445305932392,1,1
41,LMI,3000,1,1.0407270149170242,1,1
42,MINE,3000,1,0.9108555473955123,1,1
43,KSG,3000,1,1.01269786915075,1,1
44,InfoNCE,3000,1,0.8478909790881294,13,1
45,LMI,3000,1,1.0251340972021339,13,1
46,MINE,3000,1,0.8762181555204172,13,1
47,KSG,3000,1,0.41726793431339676,13,1
48,InfoNCE,3000,1,0.6092168958737408,25,2
49,LMI,3000,1,0.8818938355872281,25,2
50,MINE,3000,1,0.8853864646465881,25,2
51,KSG,3000,1,0.3043099703958716,25,2
52,InfoNCE,3000,1,0.4594227586946483,37,3
53,LMI,3000,1,0.784676915434907,37,3
54,MINE,3000,1,0.7583342813216882,37,3
55,KSG,3000,1,0.22603160387039536,37,3
56,InfoNCE,3000,1,0.3141159928418682,50,5
57,LMI,3000,1,0.5469147609958621,50,5
58,MINE,3000,1,0.5234773530431996,50,5
59,KSG,3000,1,0.15767021788079788,50,5
60,InfoNCE,4000,1,0.9622993418868974,1,1
61,LMI,4000,1,1.0080822735353283,1,1
62,MINE,4000,1,0.9146125084036103,1,1
