,SPRING1,SPRING2,Neutrophil PT,pMI,smooth pMI
102518,-1.636,725.697,10003.0,0.5026137451113964,
91567,-38.448,563.541,10010.0,0.45759178670516365,
100143,-17.163,498.706,10022.0,0.531859323026495,
89612,-18.451,610.699,10023.0,1.2698111633098477,
90156,-4.785,581.895,10035.0,0.7899889938479895,
87560,-40.962,610.482,10037.0,0.3878609279450932,
59431,70.239,645.037,10086.0,0.5621290307082469,
105388,-61.385,639.708,10100.0,0.6869177462597995,
92386,7.374,596.728,10103.0,1.3579580110830252,
91372,36.046,624.45,10162.0,0.589432471867548,
28318,-54.588,641.315,10171.0,0.5392922105373346,
109928,180.973,541.084,10177.0,0.2617479073179608,
100853,-56.351,502.286,10187.0,0.5209798591449336,
84566,-120.291,671.302,10216.0,0.3936072033404981,
82685,-52.883,647.69,10264.0,0.6542416553003128,
99351,-155.279,904.9,10296.0,0.9336348199187906,
99156,66.677,456.129,10333.0,0.6917063622622385,
60120,259.905,577.027,10335.0,-0.23666895368164664,
96541,155.034,597.483,10363.0,0.29472452729710297,
59767,-147.113,534.546,10374.0,0.04395583593248316,
87961,37.555,585.953,10378.0,0.34209491304485606,
89182,-123.397,471.708,10385.0,0.5786296927810959,
43390,346.786,625.482,10401.0,0.25188630673545853,
104594,85.863,419.952,10418.0,0.06118474495702055,
16676,-20.155,646.69,10466.0,0.061817615283973046,
98862,-27.133,501.132,10471.0,0.34737740587905563,
101740,125.874,475.47,10508.0,0.519303342764178,
51939,128.615,665.157,10527.0,0.3662375963403389,
86392,-125.465,674.423,10556.0,0.7191853613912422,
48355,69.561,567.627,10557.0,0.32683048631009326,
89185,47.256,508.96,10565.0,0.173090990032367,
97657,-136.156,661.271,10569.0,0.8004842000669041,
54537,151.125,600.88,10635.0,-0.29916601394607945,
104971,364.048,432.088,10659.0,0.6318732119684958,
59936,178.403,600.39,10688.0,0.23416220803155613,
15678,66.075,535.491,10692.0,0.2367131251323243,
54917,94.571,625.174,10693.0,0.06919780696966332,
49167,71.51,647.647,10697.0,0.23191277120527598,
91463,275.013,482.141,10713.0,0.4238172179258437,
102405,143.342,518.838,10727.0,0.6240084735209162,
109301,18.531,570.125,10749.0,0.7783886717867478,
14310,-27.747,653.133,10786.0,0.5566543195469265,
52045,64.334,789.376,10806.0,0.36959049309134573,
42123,183.194,550.726,10841.0,0.4511651948323709,
106200,148.949,558.36,10847.0,0.6916791786937372,
84575,-118.533,690.724,10877.0,0.9006098205988662,
110337,216.846,266.92,10899.0,0.8102489257373552,
85235,113.0,383.465,10905.0,0.13870391249664143,
52357,98.238,550.48,10921.0,-0.2669333929943657,
105354,339.974,326.066,10923.0,0.3488304743240802,
49764,190.858,687.571,10966.0,0.1839183100348725,
44963,230.729,656.238,10976.0,0.4573499441423795,
50006,210.323,579.06,11023.0,0.522225428870593,
94869,113.599,505.593,11032.0,0.41189524534494365,
42005,375.483,431.627,11087.0,0.19812293632225952,
85568,41.658,565.543,11126.0,0.7240776667164213,
54058,113.001,390.516,11153.0,0.4704265723984108,
99676,68.942,449.313,11176.0,0.33250280930329806,
87185,-11.002,583.896,11202.0,1.0304265448607273,
46553,67.051,446.685,11213.0,0.5293878953121077,
47484,-1.116,555.738,11226.0,0.17379733176100953,
90522,-110.966,873.594,11271.0,0.708886662472669,
84246,-19.546,571.066,11274.0,0.30767296254743587,
102673,242.554,546.629,11288.0,0.23201610133195172,
90236,264.236,504.012,11339.0,0.3844092244147422,
93733,48.18,557.921,11344.0,0.5944318940275807,
105615,268.8,405.663,11434.0,0.44148836997411933,
107073,-0.632,495.308,11454.0,0.5408814756860014,
12347,-66.22,654.251,11516.0,0.2706577010859775,
83130,11.542,468.458,11517.0,0.5607298749182089,
90097,58.151,533.289,11532.0,0.789482821779761,
83407,-68.72,747.297,11541.0,-0.09902413030536092,
55086,35.332,613.357,11560.0,0.5290032889284866,
85138,-203.75,899.709,11566.0,0.9331721142176734,
23243,-25.895,571.932,11585.0,0.6836309232152444,
45857,177.967,685.502,11672.0,-0.020365560420731288,
11676,361.6,464.428,11681.0,0.06107282806894661,
90761,392.008,444.577,11692.0,0.26829434472935637,
106553,403.681,310.115,11707.0,0.30987919337810277,
48528,316.347,474.025,11731.0,0.16292092703480993,
88190,127.869,674.044,11744.0,1.0638055970215115,
90378,-74.996,710.662,11773.0,0.7153651569843501,
18636,347.906,508.431,11801.0,0.15220908011912573,
109569,303.623,400.674,11857.0,0.11681029488167342,
107311,-67.841,667.286,11880.0,0.381997102280807,
96320,-65.346,652.426,11885.0,0.5165751562569085,
107975,182.696,438.904,11913.0,0.6204222519302208,
46273,146.547,421.456,11941.0,0.3121624523963836,
44479,243.591,510.192,11969.0,0.10069849340816943,
83453,-115.069,656.518,12032.0,0.7238926928067699,
42510,196.643,590.497,12054.0,1.2114168563409469,
102814,59.533,534.801,12108.0,0.6116487053196791,
92402,-108.218,609.916,12129.0,0.4927941667500589,
43072,21.495,492.553,12147.0,0.00797936638618088,
46996,197.924,347.52,12149.0,0.46256055217854,
96950,-104.516,607.06,12154.0,0.26192986124714357,
60645,325.914,417.962,12187.0,1.0452874023641858,
23314,155.116,340.023,12202.0,0.24149534647940646,
104728,341.965,437.928,12280.0,0.19915128598395984,
52056,-52.144,546.222,12290.0,0.2788540774577036,0.44923391282488623
86038,-46.265,672.376,12302.0,0.627449527070082,0.45048227064447305
100468,131.532,489.526,12330.0,0.4178315381829633,0.450084668159251
47400,131.207,493.465,12343.0,-0.06814300890602416,0.4440846448399258
106512,143.027,487.993,12351.0,0.5131186947332897,0.4365177201541603
11781,-29.825,600.802,12379.0,0.21305045600899644,0.4307483347757703
87826,-41.739,516.478,12413.0,0.8547095333281739,0.43541682082960115
89601,18.278,529.973,12417.0,0.5535358730568556,0.4353308892530873
94507,24.092,404.451,12483.0,0.9352507658226639,0.4378142194487159
15855,-114.56,702.665,12504.0,0.39801482266345617,0.42821478756452014
82646,31.02,485.198,12556.0,0.2087907254117769,0.4244083700999625
26634,20.679,663.719,12564.0,0.9528453650114048,0.42854390164470324
52594,37.457,511.104,12574.0,-0.263462485324203,0.42329179771828157
82969,-130.459,506.539,12585.0,1.0532530247720973,0.4286145293745532
49434,18.209,590.026,12680.0,-0.16995164128326068,0.4229789409283156
83132,158.823,438.215,12708.0,0.6680898592655314,0.4231174229679678
107415,-48.094,610.043,12719.0,0.4413811993654858,0.4181948867624347
86644,57.668,620.438,12722.0,0.2696377244646898,0.4139742003844593
100798,123.963,549.651,12747.0,0.6097299845919376,0.4224381897671951
102497,64.653,594.01,12772.0,0.5294030002423401,0.4247849744966475
97415,-7.564,611.028,12781.0,0.9200574068673847,0.4335459902059965
105326,-145.274,470.998,12838.0,1.0433228167752218,0.4405582692433002
82569,-31.664,404.426,12849.0,0.8018972635288227,0.4427909449507774
103246,32.859,605.192,12875.0,0.2422627861660615,0.44269470974508346
109198,142.854,508.501,12929.0,0.7240827291551752,0.44932368958706503
84384,387.592,373.122,12931.0,0.9879904370231752,0.458585417804457
94046,-72.277,626.301,12940.0,0.0435360710528747,0.4555470044561952
102254,37.289,499.508,12964.0,0.8888566995293466,0.4592425380238469
89349,28.517,569.114,13017.0,0.8835425018655574,0.4644155870790991
50294,-88.263,435.027,13022.0,0.45655192644404075,0.46178925272962706
94026,-10.26,372.217,13024.0,0.6470109662475696,0.46499105752900177
84771,-88.609,760.497,13042.0,0.09748011463739534,0.4642349487750521
102356,18.185,673.285,13085.0,0.3068015348259317,0.45929812212264237
83495,41.694,521.759,13121.0,0.6031071253011886,0.4683208535151151
60707,87.238,511.541,13123.0,-0.2731044465310407,0.4592710769301197
103143,-41.562,516.798,13130.0,0.49120463478129156,0.461841501197617
93172,53.531,400.489,13178.0,0.8495394274806211,0.4679697642211
89957,215.248,344.474,13190.0,0.647212098825509,0.4737499071396584
19063,-55.875,549.863,13197.0,0.08816097458486186,0.47231238917345436
