,SPRING1,SPRING2,pMI
68230,1187.861,-2102.534,2.042622996916264
64874,2601.323,-1872.726,1.3472599905576703
62462,-978.367,-2054.951,1.4239648646367378
47400,131.207,493.465,-0.06814300890602416
48980,65.361,804.586,-0.051567714441996704
24692,3017.897,441.127,1.2903832684212992
21968,-587.897,-492.973,-0.1558167940429825
93098,58.745,675.909,0.35865146946827553
42054,-16.511,1020.022,0.19601581022739442
93443,-1074.787,349.12,1.2751639297720796
55086,35.332,613.357,0.5290032889284866
104731,-1788.107,-970.596,2.487945310149322
58121,90.315,670.677,0.4313055846318745
96700,-557.258,424.429,1.3092919445848223
86547,-583.436,476.333,0.31912029115736723
13964,-245.628,905.908,-0.3905508987948174
62593,-1047.783,-1284.791,1.2013484748084833
96326,-53.181,748.911,0.5663600412125261
59812,107.735,986.069,0.10001104029467878
60527,422.83,-15.554,-0.3018452776870709
49293,43.929,799.3,0.3534534458366746
85037,25.593,347.805,0.6296503580050716
47292,-112.205,897.638,0.38079742965171726
90219,1969.375,-37.415,0.15008235881586046
25578,-958.505,-1054.874,1.8711623012068324
110729,886.127,-17.914,0.8812127228492986
54917,94.571,625.174,0.06919780696966332
50934,-43.282,725.417,0.43109854203493053
23254,585.479,-1132.688,-0.44777741286485695
91426,-1034.254,-1137.065,1.8989770833634432
68395,724.369,-1611.655,0.6887483476594551
95384,-189.853,973.15,1.2615538329370657
28949,-951.286,-1932.604,2.403908160939872
111356,1336.677,28.172,1.3886631408698844
60482,88.702,1420.626,0.8225428152249519
108031,180.772,681.797,0.38952892864635025
10558,-1842.465,710.979,0.29920598467273896
24853,2122.025,48.27,-0.02628876409221347
62270,-859.839,-688.608,1.114610080586767
59936,178.403,600.39,0.23416220803155613
9914,-869.817,-911.656,1.1171462009820803
25970,811.444,-416.536,0.2165817386202305
85070,-139.978,455.277,0.7331399447193332
65303,1139.285,-2105.04,1.18791740755356
84510,-81.297,957.045,0.6453917463998888
64403,-973.379,-992.683,1.4070107485147862
95657,140.278,363.95,0.4346905077254761
50909,72.519,1109.937,-0.12951444578377486
105403,83.768,-154.884,0.6738314811312821
92126,845.087,-113.522,-0.04099765484845942
99458,498.921,-935.625,0.48922092064797057
63250,1153.991,-2105.808,1.4073333840883064
67900,-1041.467,302.33,0.7861261906613428
62502,2148.905,-2114.301,0.5690045695623885
68529,282.746,358.578,0.48534324517585736
103759,-199.447,960.44,0.8497423198960441
43070,189.001,521.401,0.17613559727633704
98867,266.584,-674.193,0.6309163728822476
19406,-247.675,-83.726,-0.4688715848805066
83318,354.925,114.393,0.6477953886675717
86073,80.09,-238.442,0.33846763451343176
28615,66.167,423.003,0.17188694592910286
82712,448.933,257.766,0.4217837743630878
102929,188.699,126.882,-0.036974188911381496
24219,547.509,-949.666,0.22534756356654184
18519,459.356,777.665,0.5042548753138015
110177,1218.804,41.996,0.3243893142280355
100500,836.106,1668.693,1.888070924639959
91381,524.523,1097.032,0.3597410862813027
106412,71.905,-132.61,0.5513416792529152
21427,928.153,-153.034,0.38494190325378297
57497,267.218,944.833,-0.005868760776335781
109647,145.063,-262.527,0.2199097156136383
87181,-199.294,939.564,0.1713141569828522
85049,-415.623,462.635,0.6301547718334211
88078,374.044,-348.344,0.5976611867031527
92859,487.425,974.341,0.2169788819055904
99629,-270.061,573.297,0.6469828373929257
106303,-221.908,250.45,0.47619572651366726
93608,-855.234,302.156,0.8625197715512748
109808,623.727,44.398,0.47932818076667294
62167,1872.949,-2172.84,0.7765964987562199
89833,-167.962,931.424,0.182924275146343
82455,867.879,-34.97,-0.01926055447357187
10318,654.509,-1141.03,0.48969972263755013
23917,-1849.665,-986.049,2.3816239620657296
100148,384.821,-327.206,1.0200939546576357
43130,242.438,778.869,0.33931974569055645
84484,159.841,646.847,0.6911060257357895
56939,153.105,871.618,0.2752258507155456
67388,-1385.226,564.494,1.6417833673695839
23255,1388.776,-251.092,-0.017878254448284142
25919,421.981,-957.369,-0.08084843165149896
62770,884.125,-293.297,1.0170961088760733
103333,-110.545,753.965,0.7547634279093407
101216,-166.82,1110.834,0.7355420387000281
89161,-1115.785,330.848,0.45214456123283603
88188,405.118,112.435,0.3006916853375331
96248,575.95,84.202,0.04227034786513802
107129,-730.467,363.275,0.651227667874565
95074,-68.276,560.802,0.4404008006290162
102127,379.457,-340.037,0.746208774780567
109376,72.116,542.946,0.46891806262480573
92487,201.653,374.646,0.5134909711811358
19799,409.075,-71.297,1.1672795078517713
44870,135.026,1162.445,0.2290162378711733
27218,-1174.992,-344.331,0.5873280858411547
60645,325.914,417.962,1.0452874023641858
110115,660.751,114.124,0.858048505221227
100461,451.715,278.927,0.06577064959299272
56636,-112.725,874.731,0.5555085452642705
102812,-946.881,518.422,1.0031822193160942
102268,-879.905,-542.451,0.6907205832628657
85149,609.279,76.045,0.8561228148543447
104315,255.899,-39.983,0.9001850663708961
68205,2606.536,-53.999,0.9130743745563695
93755,106.493,-119.845,0.4038443649939379
56096,170.209,681.765,0.50894429343739
69037,-971.623,331.547,1.3855554899630718
91347,567.634,224.213,0.2778404365678248
91150,618.437,-158.165,1.085821256947873
62653,-861.307,-1963.76,1.942910284158166
96309,-379.543,328.764,0.5751368178755125
25984,1985.93,-268.287,0.7839003383066702
88815,261.929,116.126,0.6201550928960435
108882,36.467,117.932,0.4222528360948029
54223,498.451,149.055,0.36830255663386213
61964,-1169.473,252.298,1.4042539981926287
68376,-763.028,423.044,0.38078677259535143
109906,291.873,910.089,0.609609665348603
84340,-55.024,1008.857,0.6095740155493883
107154,265.128,445.465,0.2273383027672411
28381,-774.659,-1295.719,-1.1564661203469397
103244,494.069,217.014,0.47460156625996763
96593,-954.166,338.975,0.4271079854552514
22989,-903.956,317.059,1.102401741708536
92165,-200.124,952.082,0.68443728308162
95720,551.475,-771.085,0.5902835814898684
98091,930.222,181.367,0.5864569598995562
82998,555.009,-434.231,0.5641415972959959
93782,772.822,83.25,0.10129143985208389
21587,1321.189,-1198.229,1.251568880815099
