,SPRING1,SPRING2,type,Neutrophil PT
0,411.496,-96.19,Undifferentiated,23849.0
1,-587.462,-306.925,Undifferentiated,-1.0
2,1429.805,-429.3,Monocyte,-1.0
4,-1169.594,362.01,Undifferentiated,-1.0
6,1236.039,-2113.013,Neutrophil,49455.0
8,2617.548,-248.37,Monocyte,-1.0
13,534.77,-1041.463,Neutrophil,39262.0
14,554.803,-285.021,Undifferentiated,26306.0
15,575.826,-1089.986,Neutrophil,40624.0
16,603.763,-643.997,Undifferentiated,32626.0
18,-1032.856,-1071.686,Baso,-1.0
25,530.462,-511.109,Undifferentiated,37334.0
26,7.604,20.722,Undifferentiated,25764.0
27,-939.468,-887.806,Baso,-1.0
29,1585.689,-403.202,Monocyte,-1.0
30,2517.16,-286.148,Monocyte,-1.0
33,1374.046,-2175.93,Neutrophil,49931.0
34,2258.214,-1837.046,Undifferentiated,54846.0
39,561.24,-808.9,Undifferentiated,39969.0
40,618.252,-713.169,Undifferentiated,35012.0
41,660.469,-971.11,Neutrophil,38018.0
42,-1369.591,193.012,Erythroid,-1.0
44,471.74,-270.164,Undifferentiated,26112.0
45,1880.731,-340.268,Monocyte,-1.0
50,553.189,-173.557,Undifferentiated,25435.0
51,1970.562,-237.159,Monocyte,-1.0
52,-1375.117,542.327,Meg,-1.0
53,771.859,-268.334,Undifferentiated,-1.0
54,594.444,-585.151,Undifferentiated,29309.0
59,157.194,233.688,Undifferentiated,20075.0
60,2168.996,-494.389,Monocyte,-1.0
63,2272.294,-2064.212,Neutrophil,56295.0
64,2937.922,156.73,Monocyte,-1.0
66,630.285,-850.544,Undifferentiated,38530.0
67,659.05,-1170.457,Neutrophil,40883.0
68,1165.708,-2077.047,Neutrophil,48226.0
69,268.021,186.798,Undifferentiated,18224.0
70,170.435,342.009,Undifferentiated,17556.0
71,745.334,149.717,Undifferentiated,-1.0
72,973.292,-1902.286,Neutrophil,46742.0
73,2181.987,-2099.736,Neutrophil,54249.0
75,1089.574,-2031.074,Neutrophil,49030.0
79,844.465,-195.771,Undifferentiated,-1.0
80,354.868,1.983,Undifferentiated,23000.0
83,-875.119,301.289,Undifferentiated,-1.0
84,-1674.817,-867.362,Mast,-1.0
85,-980.871,-2055.629,Baso,-1.0
86,2320.029,-1406.001,Undifferentiated,-1.0
87,-579.76,93.37,Undifferentiated,-1.0
90,361.779,1.848,Undifferentiated,24037.0
91,-1988.407,890.01,Meg,-1.0
92,589.907,-635.848,Undifferentiated,34786.0
93,1544.691,-2200.01,Neutrophil,51329.0
95,2895.216,171.139,Monocyte,-1.0
96,2347.223,-421.185,Monocyte,-1.0
105,-587.979,-241.946,Undifferentiated,-1.0
106,1190.376,-20.079,Undifferentiated,-1.0
107,556.184,-322.444,Undifferentiated,29255.0
109,657.295,322.908,Undifferentiated,-1.0
115,2970.137,390.955,Monocyte,-1.0
119,2649.526,-141.468,Monocyte,-1.0
120,-1228.611,445.955,Undifferentiated,-1.0
121,-1064.579,-1299.311,Baso,-1.0
122,2105.385,-294.771,Monocyte,-1.0
123,2952.953,281.797,Monocyte,-1.0
124,-1056.354,-1287.045,Baso,-1.0
126,-1152.711,291.756,Undifferentiated,-1.0
131,574.555,-1202.427,Neutrophil,42482.0
135,-1924.436,-1004.821,Mast,-1.0
140,828.287,-1706.581,Neutrophil,45586.0
141,832.301,1548.562,Lymphoid,-1.0
145,368.992,-29.298,Undifferentiated,23298.0
146,270.955,351.37,Undifferentiated,14959.0
147,-1235.791,474.645,Undifferentiated,-1.0
149,1034.347,-1961.83,Neutrophil,47689.0
150,-1602.984,-844.153,Mast,-1.0
151,-1055.615,327.435,Undifferentiated,-1.0
152,703.813,-1434.39,Neutrophil,43237.0
153,2613.766,-208.476,Monocyte,-1.0
156,795.721,74.962,Undifferentiated,-1.0
160,591.938,-590.792,Undifferentiated,35683.0
162,542.827,-1212.307,Neutrophil,42574.0
163,1382.361,-490.192,Undifferentiated,-1.0
164,2054.575,-199.64,Monocyte,-1.0
167,2592.788,-293.065,Monocyte,-1.0
168,-1092.049,288.914,Undifferentiated,-1.0
169,1333.185,-2129.164,Neutrophil,49284.0
173,617.286,-995.558,Neutrophil,39461.0
176,205.765,306.394,Undifferentiated,16063.0
177,-1156.137,356.383,Undifferentiated,-1.0
178,1654.482,-734.922,Undifferentiated,-1.0
179,2225.764,-285.862,Monocyte,-1.0
180,2311.016,-72.877,Monocyte,-1.0
186,600.877,-713.202,Undifferentiated,33318.0
187,203.025,369.412,Undifferentiated,15637.0
188,529.923,-462.951,Undifferentiated,28163.0
189,354.154,30.872,Undifferentiated,24433.0
190,-1667.094,-846.103,Mast,-1.0
191,2867.544,148.704,Monocyte,-1.0
200,1324.6,-308.368,Undifferentiated,-1.0
201,524.189,-631.184,Undifferentiated,31063.0
202,573.239,-444.223,Undifferentiated,32188.0
203,1968.221,-443.381,Monocyte,-1.0
204,-1852.682,-994.407,Mast,-1.0
205,-1769.354,-902.56,Mast,-1.0
209,2633.751,-1888.555,Neutrophil,59784.0
210,-970.913,-2097.353,Baso,-1.0
212,-1971.248,887.042,Meg,-1.0
213,426.268,-187.17,Undifferentiated,25121.0
214,1098.749,-750.598,Undifferentiated,-1.0
217,2420.202,-130.746,Monocyte,-1.0
220,-903.242,-2102.621,Baso,-1.0
222,859.488,-1804.196,Neutrophil,47449.0
223,2306.859,-293.116,Monocyte,-1.0
227,2115.375,-349.219,Monocyte,-1.0
228,447.673,-139.422,Undifferentiated,27026.0
229,2464.89,-35.845,Monocyte,-1.0
238,1116.227,-1953.688,Neutrophil,48303.0
239,581.184,-748.482,Undifferentiated,37628.0
240,726.48,-12.597,Undifferentiated,-1.0
241,853.454,129.125,Undifferentiated,-1.0
242,549.575,-509.001,Undifferentiated,36868.0
244,2586.378,-103.051,Monocyte,-1.0
253,339.407,-289.556,Undifferentiated,32202.0
254,-1064.977,-1327.283,Baso,-1.0
255,248.659,227.898,Undifferentiated,17922.0
256,2010.895,-503.06,Monocyte,-1.0
259,-842.352,372.852,Undifferentiated,-1.0
260,1961.053,-579.212,Undifferentiated,-1.0
262,1456.472,-194.43,Monocyte,-1.0
266,1314.821,-560.76,Undifferentiated,-1.0
267,643.919,-384.994,Undifferentiated,30080.0
268,750.386,-1602.867,Neutrophil,45718.0
269,587.422,-444.356,Undifferentiated,31954.0
270,2991.474,310.274,Monocyte,-1.0
271,2406.148,-310.575,Monocyte,-1.0
280,520.574,-363.823,Undifferentiated,32176.0
281,641.997,-372.599,Undifferentiated,32265.0
284,2382.999,-322.123,Monocyte,-1.0
285,663.795,-802.016,Undifferentiated,36694.0
287,-1653.981,-885.919,Mast,-1.0
288,2742.961,-52.21,Monocyte,-1.0
292,2594.363,-1831.494,Neutrophil,59469.0
295,593.359,-649.629,Undifferentiated,35518.0
296,1639.367,-268.64,Monocyte,-1.0
297,941.462,66.49,Undifferentiated,-1.0
298,1774.499,-354.888,Monocyte,-1.0
299,783.365,-1648.598,Neutrophil,45538.0
300,2816.57,171.731,Monocyte,-1.0
302,-1534.501,159.165,Erythroid,-1.0
303,2257.799,-2064.36,Neutrophil,56195.0
305,2367.81,-1866.83,Neutrophil,56970.0
310,386.281,76.683,Undifferentiated,21934.0
311,474.883,-190.392,Undifferentiated,26903.0
312,763.317,-1508.512,Neutrophil,44530.0
313,449.107,-139.686,Undifferentiated,25024.0
315,1784.039,-61.099,Monocyte,-1.0
317,2051.811,-347.054,Monocyte,-1.0
318,2551.89,-145.907,Monocyte,-1.0
319,315.128,151.761,Undifferentiated,20430.0
323,-566.138,-81.419,Undifferentiated,-1.0
324,626.239,-1101.562,Neutrophil,40468.0
325,449.801,7.91,Undifferentiated,19929.0
326,1821.082,-2140.041,Neutrophil,53209.0
328,612.171,-902.91,Neutrophil,35197.0
331,2680.473,-1659.268,Neutrophil,58857.0
332,-1078.07,-1416.199,Baso,-1.0
335,639.493,-557.781,Undifferentiated,34136.0
336,1527.097,-468.874,Monocyte,-1.0
337,-1866.029,739.786,Meg,-1.0
340,1698.941,-375.428,Monocyte,-1.0
341,1318.506,-493.958,Undifferentiated,-1.0
342,248.65,468.915,Undifferentiated,18370.0
343,-1104.72,-1638.44,Baso,-1.0
348,523.554,-426.825,Undifferentiated,33148.0
349,700.384,-1483.625,Neutrophil,42988.0
350,-1789.591,-906.656,Mast,-1.0
351,1525.72,-183.388,Monocyte,-1.0
352,2301.329,-324.654,Monocyte,-1.0
353,2222.931,-561.059,Undifferentiated,-1.0
354,1316.56,-132.718,Undifferentiated,-1.0
355,635.513,-1438.482,Neutrophil,43038.0
356,-966.788,-955.699,Baso,-1.0
361,558.533,-498.281,Undifferentiated,31843.0
362,669.308,-347.438,Undifferentiated,29183.0
363,529.287,-320.694,Undifferentiated,28737.0
365,1587.819,-2213.508,Neutrophil,51440.0
366,715.097,1457.752,Undifferentiated,-1.0
371,2132.464,-2117.887,Neutrophil,54488.0
375,-4.211,110.348,Undifferentiated,24300.0
376,1016.579,-584.519,Undifferentiated,-1.0
378,2867.637,132.136,Monocyte,-1.0
379,-1062.676,-1789.314,Baso,-1.0
380,1191.333,-2010.374,Neutrophil,46440.0
381,1222.631,-1900.659,Neutrophil,48742.0
383,2494.155,-578.135,Monocyte,-1.0
389,605.291,-464.108,Undifferentiated,29155.0
391,617.44,-1169.091,Neutrophil,41883.0
392,1702.176,-251.892,Monocyte,-1.0
393,449.802,-5.845,Undifferentiated,24154.0
394,1928.372,-124.81,Monocyte,-1.0
396,1612.311,-240.308,Monocyte,-1.0
397,2891.46,327.476,Monocyte,-1.0
398,-1870.736,-948.112,Mast,-1.0
401,845.348,222.526,Undifferentiated,-1.0
403,520.228,-807.198,Undifferentiated,36214.0
406,2996.782,209.658,Monocyte,-1.0
407,2264.638,-348.514,Monocyte,-1.0
411,586.046,-425.155,Undifferentiated,28520.0
413,1898.381,-2173.19,Neutrophil,53609.0
414,2453.603,-810.556,Undifferentiated,-1.0
417,-1796.716,695.408,Meg,-1.0
418,-27.318,183.571,Undifferentiated,23019.0
420,2086.523,-599.695,Undifferentiated,-1.0
421,-1854.453,-977.722,Mast,-1.0
422,962.035,-1743.516,Neutrophil,45787.0
425,2281.815,-1891.794,Neutrophil,55298.0
426,3015.02,334.466,Monocyte,-1.0
427,-1062.43,-1912.236,Baso,-1.0
428,1326.0,-2160.277,Neutrophil,50651.0
429,698.634,-988.445,Neutrophil,43070.0
431,582.165,-621.649,Undifferentiated,32699.0
432,-662.035,-351.567,Undifferentiated,-1.0
433,855.773,-224.145,Undifferentiated,-1.0
434,1705.819,-383.693,Monocyte,-1.0
435,2949.585,230.905,Monocyte,-1.0
436,-1074.257,-1358.112,Baso,-1.0
438,1049.266,-2000.422,Neutrophil,48334.0
440,-915.144,-797.715,Baso,-1.0
441,2412.081,-1968.379,Neutrophil,57354.0
443,2429.977,-2022.924,Neutrophil,56958.0
446,608.125,-624.643,Undifferentiated,34872.0
449,-1016.093,-998.279,Baso,-1.0
451,2159.926,-378.028,Monocyte,-1.0
454,639.85,-1144.481,Neutrophil,42027.0
458,672.739,-1000.298,Neutrophil,40832.0
459,749.457,-1154.033,Neutrophil,43932.0
460,979.704,-1945.919,Neutrophil,46733.0
461,456.453,-251.943,Undifferentiated,32488.0
462,932.006,-624.19,Undifferentiated,-1.0
466,2305.696,-2055.509,Neutrophil,55137.0
470,1747.418,-2178.575,Neutrophil,51939.0
471,492.648,-216.885,Undifferentiated,25212.0
473,1737.705,-338.056,Monocyte,-1.0
477,2448.648,-160.971,Monocyte,-1.0
484,675.694,-904.54,Neutrophil,36935.0
485,619.519,-1160.368,Neutrophil,40669.0
486,1346.24,-2155.131,Neutrophil,50241.0
487,1713.354,-362.439,Monocyte,-1.0
490,-1067.502,-1275.488,Baso,-1.0
491,721.11,-1526.756,Neutrophil,44948.0
492,2633.238,490.96,Monocyte,-1.0
495,616.686,-784.091,Undifferentiated,35247.0
498,608.389,-1080.986,Neutrophil,39769.0
499,-572.505,-259.223,Undifferentiated,-1.0
505,2265.319,301.979,Undifferentiated,-1.0
506,2925.01,291.96,Monocyte,-1.0
507,1936.979,-2151.696,Neutrophil,53169.0
512,721.712,-549.503,Undifferentiated,32373.0
513,596.015,-934.395,Neutrophil,40635.0
514,2302.02,-72.92,Monocyte,-1.0
516,1035.472,248.654,Undifferentiated,-1.0
519,1399.704,-2172.894,Neutrophil,50800.0
520,2989.723,410.867,Monocyte,-1.0
521,2467.926,-93.558,Monocyte,-1.0
523,651.087,-1268.641,Neutrophil,36668.0
528,-836.635,-102.151,Undifferentiated,-1.0
529,2363.441,-152.152,Monocyte,-1.0
533,1692.858,-370.429,Monocyte,-1.0
536,-952.457,-1827.585,Baso,-1.0
537,701.176,-1180.271,Neutrophil,33959.0
539,618.983,-520.107,Undifferentiated,33145.0
541,675.998,-1401.93,Neutrophil,42409.0
543,1337.499,-113.928,Undifferentiated,-1.0
545,1358.032,-2151.459,Neutrophil,50166.0
551,689.331,-1254.713,Neutrophil,41155.0
552,1001.949,-387.59,Undifferentiated,-1.0
553,1201.313,-295.629,Undifferentiated,-1.0
555,570.241,-568.505,Undifferentiated,30771.0
556,2028.878,-258.053,Monocyte,-1.0
558,2742.261,-41.942,Monocyte,-1.0
559,2412.955,-296.222,Monocyte,-1.0
560,2170.413,-407.799,Monocyte,-1.0
562,2567.747,-619.165,Undifferentiated,-1.0
566,996.164,-272.057,Undifferentiated,-1.0
567,680.976,-1300.578,Neutrophil,42775.0
571,192.821,429.241,Undifferentiated,12600.0
572,-849.715,-634.981,Undifferentiated,-1.0
573,2872.096,236.675,Monocyte,-1.0
579,1173.251,-2092.934,Neutrophil,48783.0
580,1625.317,-327.958,Monocyte,-1.0
581,-1161.282,314.085,Undifferentiated,-1.0
583,-1056.457,-1113.39,Baso,-1.0
584,-551.397,-1491.61,Eos,-1.0
591,2395.832,-461.044,Monocyte,-1.0
592,600.288,-1324.395,Neutrophil,43282.0
593,701.193,-1279.272,Neutrophil,41988.0
594,416.309,-148.498,Undifferentiated,26337.0
596,254.857,346.821,Undifferentiated,16031.0
598,1599.885,-2216.013,Neutrophil,51564.0
601,-1876.862,-959.274,Mast,-1.0
602,2412.401,-1185.394,Undifferentiated,-1.0
605,2397.126,-1981.079,Neutrophil,55439.0
609,454.9,-8.795,Undifferentiated,21751.0
610,288.072,230.073,Undifferentiated,19159.0
611,1852.908,-358.153,Monocyte,-1.0
612,-1101.831,-1838.207,Baso,-1.0
613,507.462,305.285,Undifferentiated,-1.0
614,2563.08,-469.45,Undifferentiated,-1.0
615,443.472,-21.309,Undifferentiated,25838.0
618,2066.099,-240.496,Monocyte,-1.0
619,-680.347,364.421,Undifferentiated,-1.0
620,573.263,-330.6,Undifferentiated,31899.0
621,1535.801,-480.115,Monocyte,-1.0
625,-114.791,359.37,Undifferentiated,-1.0
627,-1025.382,-886.896,Baso,-1.0
628,2107.349,-2111.768,Neutrophil,54599.0
629,2405.318,-1948.024,Neutrophil,56749.0
630,2835.551,14.932,Monocyte,-1.0
632,407.567,383.805,Undifferentiated,18476.0
634,652.026,-947.864,Neutrophil,37410.0
635,-616.835,-301.118,Undifferentiated,-1.0
636,-598.599,-220.087,Undifferentiated,-1.0
637,191.238,275.239,Undifferentiated,16705.0
638,1053.01,-1967.324,Neutrophil,47532.0
644,2694.283,-107.561,Monocyte,-1.0
645,2363.133,-1999.283,Neutrophil,57032.0
647,684.913,-487.611,Undifferentiated,31914.0
648,590.41,-1334.499,Neutrophil,42874.0
652,2423.226,-394.471,Monocyte,-1.0
662,603.057,-233.981,Undifferentiated,26866.0
664,-1654.261,-831.073,Mast,-1.0
665,808.827,104.735,Undifferentiated,-1.0
668,-1856.372,-958.28,Mast,-1.0
671,2304.463,-2051.338,Neutrophil,55447.0
673,2436.539,-1024.685,Undifferentiated,-1.0
675,1013.246,-176.78,Undifferentiated,-1.0
676,483.354,-198.638,Undifferentiated,27274.0
677,136.093,171.689,Undifferentiated,19667.0
678,-1760.167,-890.924,Mast,-1.0
687,581.041,-433.74,Undifferentiated,32573.0
689,1513.447,-322.227,Monocyte,-1.0
690,2076.997,-282.099,Monocyte,-1.0
691,2721.891,-61.428,Monocyte,-1.0
692,198.366,387.518,Undifferentiated,14581.0
693,-998.836,282.217,Undifferentiated,-1.0
694,213.547,364.825,Undifferentiated,13400.0
701,-862.799,-2016.042,Baso,-1.0
702,570.304,-664.308,Undifferentiated,33879.0
703,753.668,-1648.421,Neutrophil,44176.0
704,894.388,193.037,Undifferentiated,-1.0
705,-1764.643,-892.892,Mast,-1.0
708,2966.454,289.438,Monocyte,-1.0
709,-1098.335,-1512.988,Baso,-1.0
713,674.976,-1124.942,Neutrophil,41690.0
715,2014.814,-380.281,Monocyte,-1.0
717,1845.559,-431.389,Monocyte,-1.0
721,-1066.724,-1489.296,Baso,-1.0
723,-1632.894,-893.398,Mast,-1.0
724,-1161.02,491.726,Undifferentiated,-1.0
726,1186.908,-241.799,Undifferentiated,-1.0
727,620.729,-890.962,Neutrophil,38084.0
728,272.158,146.454,Undifferentiated,18440.0
729,13.927,639.413,Undifferentiated,10019.0
730,-1719.86,-861.221,Mast,-1.0
733,763.408,-328.851,Undifferentiated,-1.0
737,2992.282,355.772,Monocyte,-1.0
739,419.016,-105.392,Undifferentiated,28059.0
741,2184.799,-1389.376,Undifferentiated,-1.0
742,1607.472,-2200.643,Neutrophil,51838.0
745,-1060.818,-1284.646,Baso,-1.0
746,556.078,-831.265,Undifferentiated,39067.0
747,2457.74,-1999.188,Neutrophil,57189.0
748,2396.976,-1943.193,Neutrophil,55920.0
