,Estimator,Shuffled,Estimate
0,InfoNCE,True,-0.0001964569091796875
1,MINE,True,0.0
2,LMI,True,-0.0033440483886026293
3,KSG,True,0.00454576909122088
4,InfoNCE,True,9.5367431640625e-06
5,MINE,True,7.152557373046875e-07
6,LMI,True,-0.018111558329656243
7,KSG,True,-0.004374657139747534
8,InfoNCE,True,1.52587890625e-05
9,MINE,True,-0.001705169677734375
10,LMI,True,0.014479270966155158
11,KSG,True,0.002367432616374293
12,InfoNCE,True,-0.0022182464599609375
13,MINE,True,0.00014591217041015625
14,LMI,True,-0.025510386713800546
15,KSG,True,0.01529378019546498
16,InfoNCE,True,9.5367431640625e-07
17,MINE,True,-7.152557373046875e-07
18,LMI,True,-0.0020714448188710326
19,KSG,True,-0.006369364435729293
20,InfoNCE,True,9.5367431640625e-07
21,MINE,True,-0.001983642578125
22,LMI,True,0.005060206366229518
23,KSG,True,-0.0014077772637505488
24,InfoNCE,True,-0.00040721893310546875
25,MINE,True,-0.0008559226989746094
26,LMI,True,0.023124379344592043
27,KSG,True,0.0016177394316810843
28,InfoNCE,True,9.5367431640625e-07
29,MINE,True,0.0001647472381591797
30,LMI,True,0.0103430357081368
31,KSG,True,-0.0021467152015025017
32,InfoNCE,True,-2.193450927734375e-05
33,MINE,True,8.869171142578125e-05
34,LMI,True,-0.0018900301376332852
35,KSG,True,-0.005518410391384089
36,InfoNCE,True,7.152557373046875e-05
37,MINE,True,7.581710815429688e-05
38,LMI,True,-0.004342593448661539
39,KSG,True,-0.00013038054582287356
40,InfoNCE,False,9.5367431640625e-07
41,MINE,False,2.384185791015625e-07
42,LMI,False,0.8186234720810627
43,KSG,False,0.14247900433357893
